id,station_code,name,description,address,lat,lon,capacity
42,44,Puerto Norte,Puerto Norte; Carballo 184,Carballo 184,-32.92301479484789,-60.66567778587341,20
43,47,Lagos y Segui,Lagos y Segui; Ov. Lagos 3581,Ov. Lagos 3581 y Segui,-32.974683996129144,-60.669100284576416,16
44,50,Barrio Matheu,Barrio Matheu; Bv. Segui 1319,Bv. Segui 1319 y Entre Ríos,-32.978554143531696,-60.649391412734985,16
45,45,CC Echesortu II,CC Echesortu II; Mendoza 4085,Mendoza 4085 y Av. Avellaneda,-32.944418997251766,-60.68002223968506,20
46,39,Bella Vista,Bella Vista; Bv. Avellaneda 2389,Bv. Avellaneda 2389 y Godoy,-32.957783865637914,-60.68373441696167,12
47,43,Alto Rosario,Alto Rosario; Junin 491,Junin 391,-32.92653599347845,-60.6690788269043,20
48,48,Oroño y Segui,Oroño y Segui; Bv. Segui 2186,Bv. Segui 2186,-32.97646608507204,-60.66103219985962,16
49,52,Plaza Eva Duarte de Perón,Plaza Eva Duarte de Perón; Ayacucho 3385 ,Ayacucho 3385 y Ayolas,-32.97858114396427,-60.63432276248932,20
50,42,Refinería,Refinería; Bv. Avellaneda 518 BIS,Bv. Avellaneda  518 BIS y Carballo,-32.92171051403622,-60.67459104854584,16
51,46,Arroyito,"Barrio Arroyito, Bv. Avellaneda 1006 BIS",Bv. Avellaneda 1006 BIS y J. Ingenieros,-32.916072619129054,-60.673173501081465,16
52,35,Barrio Agote,"Barrio Agote, Salta 3228",Salta 3228,-32.934106315234914,-60.66570220787048,20
53,40,Cinco esquinas,"Cinco Esquinas, Riobamba 3585",Riobamba 3585  y San Nicolás ,-32.95708325593757,-60.676323755569456,12
54,23,Barrio Lourdes,Barrio Lourdes; Mendoza 2771,Mendoza 2771,-32.947594287181566,-60.662102683372495,20
57,53,Avellaneda y Córdoba,Avellaneda y Córdoba,Avellaneda 835,-32.939457,-60.679149,20
58,54,Distrito Oeste,"Distrito Oeste, Av. Pte. Perón 4602",Av. Pte. Perón 4602,-32.9581866,-60.6913242,20
60,56,Portal Rosario,"Portal Rosario, Nansen 335",Nansen 335,-32.9093257,-60.6833951,20
62,57,Lisandro de la Torre,"Lisandro de la Torre, Bv. Rondeau 112",Bv. Rondeau 112,-32.91422795893311,-60.68635056866098,21
67,60,Plaza Alberdi,"Plaza Alberdi, Bv. Rondeau 1950",Bv. Rondeau 1950,-32.894645560577175,-60.69265425549448,20
68,59,Rondeau y Washington,"Rondeau y Washington, Bv. Rondeau 1365",Bv. Rondeau 1365,-32.9004262817609,-60.69081468532575,16
69,55,PAMI II,"PAMI II, Olivé 1175",Olivé 1175,-32.91293717782394,-60.68009608761775,20
70,61,La Rambla,"La Rambla, Av. Eudoro Carrasco 2034",Av. Eudoro Carrasco 2034,-32.89180515414552,-60.68577111042986,42
71,62,La Florida,"La Florida, Av. Eudoro Carrasco 3226",Av. Eudoro Carrasco 3226,-32.88490773761225,-60.68735302130976,20
72,63,Parque Alem,"Parque Alem, Av. Frondizi 3163",Av. Frondizi 335,-32.910503,-60.677572,20
73,58,Rondeau y Sorrento,"Rondeau y Sorrento, Bv. Rondeau 883",Bv. Rondeau 883,-32.906549276588485,-60.6889224677472,16
74,64,Mendoza y Sucre," Mendoza y Sucre, Mendoza 4881",Mendoza 4881,-32.942375,-60.691032,20
75,65,Plaza Azcuénaga,"Plaza Azcuénaga, Mendoza 5335",Mendoza 5335,-32.941427,-60.696252,20
76,66,Mendoza y Magallanes,"Mendoza y Magallanes, Mendoza 6043",Mendoza 6043,-32.940079,-60.705073,20
77,67,Cuatro Plazas,"Cuatro Plazas, Mendoza 6591",Mendoza 6591,-32.940247,-60.711147,20
78,68,Provincias Unidas y Eva Perón,Av. Provincias Unidas y Eva Perón,Av. Provincias Unidas 410,-32.933226,-60.713076,20
82,69,Distrito Noroeste,Distrito Noroeste,Av. Provincias Unidas 150 bis,-32.928205,-60.712881,20
83,70,Rondeau y Ricardo Núñez,"Rondeau e Hipólito Yrigoyen, Bv. Rondeau 3263",Bv. Rondeau 3263,-32.884702,-60.695824,20
84,71,Rondeau y Martín Fierro,"Rondeau y Martín Fierro, Bv. Rondeau 3967",Bv. Rondeau 3967,-32.878274,-60.697782,20
85,72,Costa Alta,"Costa Alta, Av. Eudoro Carrasco 4217",Av. Eudoro Carrasco 4217,-32.8736414,-60.6890764,20
